Time,Shortwave Flux (Wm-2),Net Radiation (Wm-2),Sensible Heat Flux (Wm-2),Latent Heat Flux (Wm-2),Ground Flux (Wm-2),Air Temperature at 50m (C),Air Temperature at 1.3m (C),Air Temperature in Foliage (C),Radiometric Temperature (C),Wind at 50 m (kts),Wind at 10 m (kts),Wind in Foliage (kts),Specific Humidity at 50m (gKg-1),specific Humidity at 1.3m (gKg-1),Specific Humidity of Foliage (gKg-1),Bowen Ratio ( x 1000),Surface Moisture Availability ( x 1000),Root Zone Moisture Availability ( x 1000),Stomatal Resistance (sm-1),Vapor Pressure Deficit (mbar),Leaf Water Potential (bars),Epidermal Water Potential (bars),Ground Water Potential (mbars),CO2 Flux (micromolesm-2s-1),CO2 Concentration in Canopy (ppmv),Water Use Efficiency ( x 1000),O3 Concentration in Canopy (ppmv ( x 1000)),Global O3 Flux (ugm-2s-1),O3 Flux in Plant (ugm-2s-1),Wet Bulb Potential Temperature (K),Lifted Index,K Index,Total Totals,Sweat Index,LE _ (LE + H),H _ (LE + H),Longwave downwelling radiation,Longwave upwelling radiation,Daily Heat Flux
00:00,0.0,-83.58789733422162,-7.2920748057967275,2.8229598073095783,-79.11878233573447,7.766689901727773,8.062542718980069,8.062923375724097,6.942186830984497,9.22821971742263,6.414777563148172,NaN,5.930745085576859,5.930745085576859,5.930745085576859,NaN,250.60910743866333,469.9999988079071,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,277.9826900065909,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.6380893623777,NaN,NaN,NaN,334.3584822484789,Infinity
00:15,0.0,-83.21177203599453,-7.575904991005834,2.5934230845293045,-78.229290129518,7.766689901727773,8.053207412359598,8.054433347986048,6.8543889765533095,9.22821971742263,6.410112700371148,NaN,5.930745085576859,5.930745085576859,5.930745085576859,NaN,251.15190055900487,469.9999988079071,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,277.9826900065909,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.6380893623777,NaN,NaN,0.6125241879797584,333.96742897203933,0.6125241879797584
00:30,0.0,-82.65631239325728,-8.031587204336894,2.2378595282017395,-76.86258471712213,7.766689901727773,8.03919491700077,8.040678477467168,6.73621247006065,9.22821971742263,6.401873202025428,NaN,5.930745085576859,5.930745085576859,5.930745085576859,NaN,251.69482599345704,469.9999988079071,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,277.9826900065909,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.6380893623777,NaN,NaN,0.26528447541125927,333.4115546539676,0.26528447541125927
00:45,0.0,-82.05846715967422,-8.52864425015927,1.8529295193899284,-75.38275242890488,7.766689901727773,8.024005247760897,8.025525348516851,6.6122292152737145,9.22821971742263,6.392718010212456,NaN,5.930745085576859,5.930745085576859,5.930745085576859,NaN,252.23853497447618,469.9999988079071,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,277.9826900065909,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.6380893623777,NaN,NaN,0.14737287060640364,332.82120101273836,0.14737287060640364
01:00,0.0,-81.47347138022373,-9.017344691296667,1.4776537102359022,-73.93378039916296,7.766689901727773,8.009001083102532,8.010472872683238,6.491889728678643,9.22821971742263,6.383598326372178,NaN,5.930745085576859,5.930745085576859,5.930745085576859,NaN,252.7830815802013,469.9999988079071,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,277.9826900065909,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.6380893623777,NaN,NaN,0.08893726870569241,332.24628259855217,0.08893726870569241
01:15,0.0,-80.92051000875118,-9.480192798635459,1.1250922831429828,-72.5654094932587,7.766689901727773,7.99467821210726,7.996072613413787,6.378400557284635,9.22821971742263,6.374865417649032,NaN,5.930745085576859,5.930745085576859,5.930745085576859,NaN,253.32830429267338,469.9999988079071,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,277.9826900065909,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.6380893623777,NaN,NaN,0.05480409014593764,331.7038370702149,0.05480409014593764
01:30,0.0,-80.4045065681741,-9.912463329053702,0.7982280046468256,-71.29027124376722,7.766689901727773,7.981183775372131,7.9824941315799265,6.272502080772938,9.22821971742263,6.366628754203613,NaN,5.930745085576859,5.930745085576859,5.930745085576859,NaN,253.87397876059276,469.9999988079071,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,277.9826900065909,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.6380893623777,NaN,NaN,0.03286568890197272,331.1979790643128,0.03286568890197272
01:45,0.0,-79.92493051560461,-10.314344687595462,0.4963069651840647,-70.10689279319321,7.766689901727773,7.968526983487948,7.969755390301486,6.173996044671696,9.22821971742263,6.35890176688065,NaN,5.930745085576859,5.930745085576859,5.930745085576859,NaN,254.4198758718917,469.9999988079071,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,277.9826900065909,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.6380893623777,NaN,NaN,0.017813942764372637,330.7279077635756,0.017813942764372637
02:00,0.0,-79.47932728230438,-10.687783388760057,0.21733479669774664,-69.00887869024207,7.766689901727773,7.956665119916977,7.957816837267501,6.0823583980367175,9.22821971742263,6.351661348229632,NaN,5.930745085576859,5.930745085576859,5.930745085576859,NaN,254.96578230017326,469.9999988079071,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,277.9826900065909,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.6380893623777,NaN,NaN,0.006961143028702688,330.29111071881806,0.006961143028702688
02:15,0.0,-79.06443814253659,-11.035346150070987,0.001,-68.0300919924656,7.766689901727773,7.945526206164402,7.94661596467904,5.996670024339096,9.22821971742263,6.34487048268188,NaN,5.930745085576859,5.930745085576859,5.930745085576859,NaN,255.51143650633185,469.9999988079071,NaN,NaN,NaN,NaN,0.0,NaN,NaN,NaN,NaN,NaN,NaN,277.9826900065909,310.2120531602998,-69.92931256734693,-60.35748171623129,-2222.6380893623777,NaN,NaN,2.9117516010492886E-5,329.8839387518728,2.9117516010492886E-5
